0 8737.73183493 69466331
1 6798.30929116 19278319
2 5047.15297268 22745669
3 5260.44105452 10797381
4 5482.1020747 12972291
5 3186.550931 16227872
6 3368.94478102 8038307
7 3638.54461736 6497893
8 3985.99477925 6833902
9 2943.82871314 13136542
10 2474.36069242 27486716
11 2629.69222512 13255555
12 3255.55733211 14138725
13 2072.20344502 7727719
14 2575.80515279 3715461
15 3175.13722406 24414186
16 3183.73794536 14120689
17 2096.39620033 19366497
18 2445.3998483 7546923
19 3214.51796149 11737010
20 2915.50975288 10128126
21 2047.49018642 4197445
22 2168.18925909 4959617
23 2181.34428202 12260096
24 2412.1102175 13807653
25 1921.50390327 897175
26 1659.74228143 650580
27 2081.57376653 1934813
28 2592.09942074 6231012
29 2074.35036038 839173
30 1761.00537639 598295
31 2154.79674025 936359
32 2084.58978381 707678
33 1423.03381819 1087258
34 1680.66653059 2802836
35 1597.23776697 783660
36 2167.02324761 2650856
37 1826.50156321 4864613
38 2010.06708165 1377749
39 2124.95780703 1259636
40 2240.75235729 5269061
41 1642.55415569 759753
42 1265.06377561 1606808
43 1588.41149083 1389202
44 1769.01785311 1271640
45 1557.26616715 2044720
46 1783.33650196 605251
47 1626.89029558 1205666
48 1429.38283171 874242
49 1870.7444243 1526992
50 1520.8985836 453636
51 1454.34929907 657565
52 1668.29275492 523441
53 1518.01598187 796103
54 1525.52771261 942084
55 1568.39783146 1453067
56 1918.18933086 1974653
57 1757.78702775 1441907
58 1667.96876344 1129245
59 2469.72292089 4389167
60 2730.59635445 1803857
61 2111.24298025 1127308
62 1671.69397127 1025697
63 1462.27580833 422226
64 1255.03076188 508185
65 1092.83005593 700716
66 1338.1504041 6295755
67 1298.7114025 558978
68 1315.23717699 711045
69 1137.45704261 778768
70 1287.96441751 890860
71 1253.59649167 670056
72 1379.48620962 1840513
73 1340.68116214 2111157
74 1280.83831633 893701
75 1257.68119957 604325
76 1413.98330589 583218
77 1155.40994159 883447
78 1140.04383214 343085
79 1207.76159885 623727
80 1069.10420731 793755
81 1065.05980637 676451
82 1040.62654841 894750
83 1220.6226629 706481
84 1230.19448465 734825
85 1072.12451232 952310
86 836.239420054 357443
87 1131.77617034 553793
88 988.063054586 554505
89 1132.26782489 429010
90 1098.2098169 5866884
91 1020.73412198 937570
92 976.13125733 515293
93 1044.90778207 233390
94 810.094689644 229473
95 959.75971411 21627270
96 1067.69016114 370190
97 1139.76326004 503290
98 1120.67593443 725280
99 1072.59589377 727938
100 1067.1705457 392681
101 1029.02900486 441599
102 1012.73893201 580317
103 999.767605832 408838
104 902.014643245 754664
105 900.427277637 2391893
106 825.979509192 1646626
107 1038.43988151 426014
108 872.356020786 524513
109 1039.03632262 607066
110 962.946350886 792149
111 1192.07149609 1076828
112 1062.93082704 6726290
113 1132.02499999 1158545
114 1011.00601756 1722115
115 1242.02885445 500851
116 1093.93820325 734527
117 1148.43359178 796824
118 959.419222339 1810518
119 1443.31946996 1701532
